## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR9003232.bam] OUTPUT=SRR9003232.dedup.bam METRICS_FILE=SRR9003232.dedup.metrics.txt ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Oct 11 08:43:13 UTC 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	431221	12208726	54385	845429	335580	1431092	0	0.12869	47922186

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	9774485	9774485
2.0	1.775101	804763	804763
3.0	2.375884	123921	123921
4.0	2.841551	34983	34983
5.0	3.20249	14807	14807
6.0	3.482254	7811	7811
7.0	3.6991	4640	4640
8.0	3.867177	3067	3067
9.0	3.997455	1980	1980
10.0	4.098432	1444	1444
11.0	4.176701	1027	1027
12.0	4.237366	821	821
13.0	4.284388	605	605
14.0	4.320835	513	513
15.0	4.349085	337	337
16.0	4.370982	354	354
17.0	4.387954	277	277
18.0	4.401109	244	244
19.0	4.411306	205	205
20.0	4.419209	175	175
21.0	4.425335	135	135
22.0	4.430083	108	108
23.0	4.433764	88	88
24.0	4.436616	93	93
25.0	4.438827	68	68
26.0	4.440541	49	49
27.0	4.44187	62	62
28.0	4.442899	51	51
29.0	4.443697	44	44
30.0	4.444316	34	34
31.0	4.444795	33	33
32.0	4.445167	27	27
33.0	4.445455	27	27
34.0	4.445678	26	26
35.0	4.445851	22	22
36.0	4.445985	20	20
37.0	4.446089	23	23
38.0	4.44617	18	18
39.0	4.446232	16	16
40.0	4.446281	19	19
41.0	4.446318	9	9
42.0	4.446347	13	13
43.0	4.44637	7	7
44.0	4.446387	8	8
45.0	4.446401	8	8
46.0	4.446412	6	6
47.0	4.44642	8	8
48.0	4.446426	10	10
49.0	4.446431	14	14
50.0	4.446435	4	4
51.0	4.446438	3	3
52.0	4.44644	5	5
53.0	4.446442	4	4
54.0	4.446443	8	8
55.0	4.446444	4	4
56.0	4.446445	4	4
57.0	4.446446	4	4
58.0	4.446446	2	2
59.0	4.446446	4	4
60.0	4.446447	5	5
61.0	4.446447	7	7
62.0	4.446447	7	7
63.0	4.446447	1	1
64.0	4.446447	3	3
65.0	4.446447	1	1
66.0	4.446447	2	2
67.0	4.446448	1	1
68.0	4.446448	3	3
69.0	4.446448	3	3
70.0	4.446448	2	2
71.0	4.446448	0	0
72.0	4.446448	3	3
73.0	4.446448	1	1
74.0	4.446448	4	4
75.0	4.446448	2	2
76.0	4.446448	0	0
77.0	4.446448	2	2
78.0	4.446448	2	2
79.0	4.446448	3	3
80.0	4.446448	2	2
81.0	4.446448	1	1
82.0	4.446448	3	3
83.0	4.446448	1	1
84.0	4.446448	2	2
85.0	4.446448	0	0
86.0	4.446448	1	1
87.0	4.446448	0	0
88.0	4.446448	0	0
89.0	4.446448	1	1
90.0	4.446448	2	2
91.0	4.446448	1	1
92.0	4.446448	0	0
93.0	4.446448	0	0
94.0	4.446448	0	0
95.0	4.446448	2	2
96.0	4.446448	0	0
97.0	4.446448	2	2
98.0	4.446448	1	1
99.0	4.446448	1	1
100.0	4.446448	1	1
103.0	0	1	1
104.0	0	1	1
108.0	0	1	1
120.0	0	1	1
130.0	0	1	1
138.0	0	1	1
145.0	0	1	1
158.0	0	1	1
164.0	0	1	1
166.0	0	1	1
181.0	0	1	1
189.0	0	1	1
199.0	0	1	1
212.0	0	1	1

